,Customer_Age,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_NA,Income_Category_NA,Marital_Status,Gender
38,47.0,2.0,3.0,1.0,0.0,35.0,1.0,6.0,3.0,5791.0,1957.0,3834.0,0.654,7823.0,93.0,0.722,0.338,0.0,0.0,,
39,51.0,3.0,1.0,0.0,0.0,38.0,1.0,3.0,2.0,1759.0,1345.0,414.0,0.61,4351.0,81.0,0.688,0.765,0.0,0.0,,
40,54.0,1.0,3.0,3.0,0.0,46.0,3.0,3.0,2.0,15554.0,2497.0,13057.0,1.027,2836.0,61.0,0.605,0.161,0.0,0.0,Single,M
41,51.0,0.0,1.0,3.0,0.0,44.0,2.0,2.0,3.0,22741.0,2176.0,20565.0,0.689,8438.0,100.0,0.887,0.096,0.0,0.0,,
42,33.0,3.0,1.0,0.0,0.0,21.0,2.0,1.0,3.0,2831.0,1167.0,1664.0,0.744,4460.0,65.0,0.857,0.412,0.0,0.0,Single,F
43,45.0,2.0,3.0,2.0,0.0,25.0,3.0,5.0,3.0,1438.3,0.0,1438.3,0.676,709.0,27.0,0.421,0.0,0.0,0.0,Married,M
44,48.0,1.0,3.0,0.0,0.0,35.0,5.0,2.0,2.0,1449.0,0.0,1449.0,0.785,4797.0,88.0,0.913,0.0,0.0,0.0,Single,F
45,50.0,2.0,4.0,3.0,0.0,38.0,3.0,3.0,1.0,6030.0,1315.0,4715.0,0.623,3420.0,81.0,0.841,0.218,1.0,0.0,Single,M
46,48.0,2.0,1.0,0.0,0.0,35.0,4.0,6.0,1.0,1686.0,1271.0,415.0,1.087,3445.0,64.0,0.73,0.754,0.0,0.0,Married,M
47,51.0,1.0,3.0,0.0,0.0,39.0,5.0,3.0,2.0,1438.3,0.0,1438.3,0.885,2492.0,35.0,0.296,0.0,0.0,0.0,Married,M
48,55.0,2.0,0.0,2.0,0.0,35.0,3.0,3.0,0.0,3025.0,2376.0,649.0,1.252,1277.0,23.0,1.875,0.785,0.0,1.0,,
49,46.0,4.0,3.0,1.0,0.0,39.0,3.0,1.0,1.0,2477.0,1480.0,997.0,0.826,5138.0,77.0,0.974,0.597,0.0,0.0,Single,M
50,42.0,2.0,3.0,1.0,0.0,33.0,6.0,1.0,1.0,13770.0,2517.0,11253.0,0.788,1582.0,36.0,0.385,0.183,0.0,1.0,Married,F
51,47.0,3.0,3.0,1.0,0.0,31.0,6.0,3.0,6.0,5496.0,0.0,5496.0,0.548,1913.0,34.0,0.308,0.0,0.0,0.0,Married,F
52,37.0,1.0,2.0,2.0,0.0,26.0,6.0,3.0,2.0,15755.0,1410.0,14345.0,0.839,2061.0,61.0,0.649,0.089,0.0,0.0,Married,F
53,43.0,2.0,2.0,4.0,0.0,37.0,6.0,3.0,1.0,14315.0,1348.0,12967.0,0.681,3694.0,67.0,0.718,0.094,0.0,0.0,,
54,56.0,1.0,1.0,2.0,0.0,49.0,1.0,2.0,1.0,17542.0,2517.0,15025.0,0.8,13939.0,138.0,0.792,0.143,0.0,1.0,Married,M
55,33.0,4.0,2.0,1.0,1.0,20.0,2.0,1.0,3.0,15977.0,0.0,15977.0,0.702,7745.0,64.0,0.684,0.0,0.0,0.0,Married,F
56,44.0,2.0,0.0,0.0,0.0,37.0,5.0,1.0,2.0,7627.0,1742.0,5885.0,0.771,4349.0,75.0,0.705,0.228,0.0,1.0,Single,F
57,34.0,3.0,3.0,0.0,0.0,23.0,5.0,3.0,3.0,2263.0,1794.0,469.0,0.794,2154.0,37.0,0.542,0.793,0.0,0.0,Married,M
58,44.0,3.0,3.0,0.0,0.0,27.0,5.0,1.0,1.0,7751.0,1965.0,5786.0,0.782,4543.0,90.0,0.731,0.254,0.0,1.0,Married,F
59,41.0,2.0,3.0,0.0,0.0,30.0,3.0,2.0,2.0,3028.0,2270.0,758.0,0.804,4727.0,78.0,0.66,0.75,0.0,0.0,Single,M
60,48.0,4.0,0.0,0.0,0.0,37.0,6.0,3.0,4.0,2646.0,872.0,1774.0,0.865,4246.0,80.0,0.739,0.33,0.0,0.0,Married,M
61,46.0,3.0,3.0,3.0,0.0,31.0,5.0,2.0,4.0,26303.0,2376.0,23927.0,0.583,3586.0,67.0,0.914,0.09,0.0,0.0,Married,M
62,46.0,1.0,2.0,2.0,0.0,39.0,4.0,3.0,3.0,5374.0,2324.0,3050.0,0.423,1557.0,49.0,0.4,0.432,1.0,0.0,,
63,51.0,2.0,3.0,2.0,0.0,41.0,4.0,3.0,1.0,1959.0,0.0,1959.0,0.454,3737.0,71.0,0.614,0.0,0.0,0.0,Single,M
64,52.0,2.0,3.0,3.0,0.0,37.0,1.0,3.0,1.0,34516.0,1369.0,33147.0,0.764,7745.0,82.0,0.64,0.04,0.0,0.0,Single,M
65,32.0,2.0,3.0,0.0,0.0,17.0,5.0,1.0,2.0,1438.3,1228.0,210.3,1.132,2580.0,67.0,0.971,0.854,0.0,0.0,Single,M
66,50.0,3.0,0.0,3.0,0.0,36.0,5.0,2.0,3.0,24742.0,1676.0,23066.0,0.566,1306.0,31.0,0.55,0.068,0.0,0.0,,
67,56.0,1.0,3.0,1.0,0.0,47.0,3.0,2.0,1.0,6038.0,0.0,6038.0,0.741,1447.0,30.0,0.875,0.0,0.0,0.0,Single,F
68,38.0,4.0,3.0,0.0,0.0,30.0,3.0,1.0,2.0,5951.0,1702.0,4249.0,1.264,2565.0,53.0,0.71,0.286,0.0,0.0,Married,M
69,42.0,4.0,3.0,1.0,1.0,37.0,3.0,6.0,2.0,15871.0,2086.0,13785.0,0.745,1562.0,43.0,0.955,0.131,0.0,0.0,Married,M
70,38.0,2.0,3.0,3.0,0.0,33.0,4.0,3.0,2.0,16059.0,618.0,15441.0,0.824,1357.0,26.0,1.0,0.038,0.0,0.0,Single,M
71,41.0,2.0,1.0,1.0,0.0,36.0,4.0,5.0,3.0,1561.0,1169.0,392.0,0.573,4391.0,67.0,0.595,0.749,0.0,0.0,Married,F
72,42.0,4.0,3.0,1.0,0.0,36.0,6.0,2.0,2.0,4008.0,1636.0,2372.0,0.637,1395.0,43.0,0.955,0.408,0.0,0.0,Married,M
73,56.0,4.0,0.0,1.0,0.0,51.0,5.0,1.0,1.0,3334.0,1272.0,2062.0,1.12,4284.0,73.0,0.587,0.382,0.0,1.0,Married,M
74,51.0,2.0,1.0,2.0,0.0,37.0,6.0,6.0,3.0,8787.0,1087.0,7700.0,0.974,4537.0,75.0,1.273,0.124,0.0,0.0,Single,M
75,42.0,3.0,1.0,3.0,0.0,36.0,1.0,3.0,2.0,22993.0,0.0,22993.0,1.004,7867.0,75.0,0.786,0.0,0.0,0.0,,
76,49.0,3.0,0.0,1.0,0.0,40.0,6.0,2.0,3.0,8900.0,1700.0,7200.0,0.906,4710.0,70.0,0.556,0.191,0.0,0.0,Single,F
77,45.0,4.0,1.0,2.0,0.0,36.0,6.0,1.0,1.0,11498.0,1577.0,9921.0,0.756,4014.0,70.0,0.489,0.137,1.0,0.0,Single,F
78,47.0,2.0,3.0,3.0,0.0,36.0,3.0,1.0,3.0,9437.0,2024.0,7413.0,0.664,4715.0,78.0,0.696,0.214,1.0,0.0,Divorced,M
79,49.0,4.0,3.0,0.0,0.0,36.0,1.0,3.0,1.0,6615.0,0.0,6615.0,0.619,4575.0,75.0,0.786,0.0,0.0,0.0,Married,M
80,48.0,4.0,3.0,0.0,1.0,36.0,2.0,2.0,3.0,10973.0,1466.0,9507.0,0.802,4892.0,94.0,0.593,0.134,0.0,0.0,Married,M
81,54.0,1.0,1.0,2.0,0.0,36.0,4.0,1.0,4.0,20050.0,1225.0,18825.0,0.907,1306.0,26.0,0.238,0.061,0.0,0.0,,
82,59.0,2.0,0.0,0.0,0.0,51.0,5.0,5.0,4.0,1438.3,0.0,1438.3,0.656,2146.0,44.0,0.63,0.0,0.0,0.0,Married,F
83,54.0,0.0,4.0,0.0,1.0,39.0,6.0,2.0,3.0,11696.0,2288.0,9408.0,0.973,2445.0,60.0,0.765,0.196,0.0,0.0,Married,F
84,48.0,3.0,2.0,0.0,0.0,36.0,3.0,1.0,2.0,8795.0,1318.0,7477.0,0.563,4681.0,74.0,0.682,0.15,0.0,0.0,,
85,46.0,3.0,2.0,3.0,0.0,41.0,4.0,3.0,1.0,18927.0,887.0,18040.0,1.065,3101.0,54.0,1.0,0.047,0.0,0.0,Married,M
86,57.0,4.0,2.0,4.0,0.0,36.0,2.0,2.0,3.0,13694.0,2219.0,11475.0,1.078,9040.0,63.0,0.8,0.162,1.0,0.0,Single,M
87,62.0,1.0,1.0,3.0,0.0,56.0,2.0,1.0,2.0,8990.0,0.0,8990.0,0.935,747.0,19.0,0.583,0.0,0.0,1.0,Single,F
88,38.0,2.0,3.0,0.0,0.0,25.0,6.0,2.0,2.0,1438.3,538.0,900.3,0.675,4093.0,73.0,0.659,0.374,0.0,0.0,Single,M
89,40.0,3.0,1.0,3.0,0.0,34.0,1.0,3.0,4.0,29715.0,0.0,29715.0,0.399,2128.0,39.0,0.345,0.0,0.0,0.0,,
90,41.0,3.0,2.0,2.0,0.0,33.0,6.0,1.0,4.0,5246.0,0.0,5246.0,0.969,3189.0,56.0,0.556,0.0,0.0,0.0,Single,F
91,45.0,3.0,1.0,1.0,0.0,36.0,4.0,2.0,2.0,1912.0,1281.0,631.0,0.693,5046.0,79.0,0.717,0.67,0.0,0.0,Single,M
92,49.0,3.0,0.0,3.0,0.0,43.0,2.0,2.0,2.0,4645.0,1650.0,2995.0,0.912,1193.0,33.0,0.65,0.355,0.0,0.0,Single,M
93,45.0,3.0,3.0,2.0,1.0,34.0,5.0,1.0,1.0,34516.0,1664.0,32852.0,0.73,4912.0,80.0,0.739,0.048,0.0,0.0,Single,M
94,38.0,3.0,4.0,0.0,0.0,32.0,4.0,3.0,2.0,3317.0,2517.0,800.0,0.862,3772.0,74.0,1.0,0.759,0.0,0.0,Married,F
95,54.0,1.0,2.0,4.0,0.0,44.0,4.0,3.0,2.0,2821.0,2415.0,406.0,0.441,1419.0,36.0,0.8,0.856,0.0,0.0,Married,M
96,47.0,2.0,3.0,2.0,0.0,34.0,3.0,3.0,2.0,2048.0,1599.0,449.0,0.613,4855.0,88.0,0.872,0.781,1.0,0.0,Married,M
97,35.0,3.0,4.0,3.0,0.0,28.0,3.0,1.0,2.0,4380.0,0.0,4380.0,0.719,17258.0,121.0,0.704,0.0,0.0,0.0,Married,M
98,58.0,1.0,2.0,1.0,0.0,52.0,3.0,2.0,3.0,3880.0,2517.0,1363.0,0.673,3163.0,65.0,0.97,0.649,1.0,0.0,,
99,42.0,3.0,3.0,2.0,0.0,37.0,2.0,3.0,1.0,17887.0,1821.0,16066.0,0.687,14544.0,116.0,1.148,0.102,0.0,0.0,Married,M
100,47.0,3.0,3.0,0.0,0.0,27.0,3.0,3.0,0.0,1451.0,0.0,1451.0,0.5,3866.0,72.0,0.714,0.0,0.0,0.0,Single,F
101,47.0,4.0,1.0,0.0,0.0,36.0,3.0,3.0,3.0,2033.0,228.0,1805.0,0.904,2572.0,43.0,0.72,0.112,1.0,0.0,,
102,53.0,0.0,0.0,4.0,0.0,47.0,5.0,2.0,1.0,26129.0,1752.0,24377.0,0.742,4919.0,75.0,0.744,0.067,0.0,0.0,Married,M
103,40.0,3.0,2.0,0.0,0.0,36.0,6.0,1.0,0.0,2348.0,1061.0,1287.0,1.062,1901.0,27.0,1.25,0.452,1.0,0.0,Single,F
104,44.0,5.0,2.0,0.0,0.0,36.0,4.0,2.0,3.0,5791.0,0.0,5791.0,0.645,4556.0,67.0,0.861,0.0,1.0,1.0,,
105,37.0,3.0,0.0,1.0,0.0,19.0,3.0,3.0,4.0,2186.0,1185.0,1001.0,0.998,2614.0,67.0,0.861,0.542,0.0,0.0,Married,F
106,57.0,4.0,1.0,1.0,0.0,47.0,5.0,2.0,4.0,6803.0,1332.0,5471.0,0.809,1476.0,30.0,0.579,0.196,0.0,0.0,Single,M
107,54.0,4.0,3.0,2.0,0.0,36.0,4.0,3.0,3.0,6905.0,2303.0,4602.0,0.712,1370.0,25.0,0.786,0.334,0.0,0.0,,
108,42.0,1.0,4.0,0.0,0.0,28.0,3.0,3.0,0.0,3453.0,1010.0,2443.0,0.801,8108.0,85.0,0.7,0.292,0.0,0.0,Married,F
109,56.0,2.0,3.0,3.0,0.0,36.0,4.0,2.0,3.0,23510.0,1049.0,22461.0,0.438,1661.0,35.0,0.296,0.045,0.0,0.0,Divorced,M
110,62.0,0.0,1.0,0.0,0.0,36.0,6.0,2.0,1.0,3749.0,1980.0,1769.0,0.706,5083.0,69.0,0.643,0.528,0.0,0.0,Married,M
111,48.0,0.0,3.0,1.0,0.0,36.0,3.0,1.0,0.0,2708.0,2517.0,191.0,0.568,2198.0,41.0,0.864,0.929,1.0,0.0,,
112,41.0,3.0,2.0,0.0,0.0,37.0,3.0,1.0,2.0,1438.3,765.0,673.3,0.644,4053.0,66.0,0.692,0.532,0.0,0.0,,
113,36.0,2.0,3.0,0.0,0.0,29.0,6.0,3.0,4.0,2029.0,1190.0,839.0,0.628,1802.0,40.0,0.481,0.586,1.0,0.0,Married,F
114,35.0,3.0,4.0,3.0,0.0,29.0,2.0,1.0,3.0,17030.0,1911.0,15119.0,0.528,715.0,25.0,0.562,0.112,0.0,0.0,Single,M
115,31.0,2.0,0.0,0.0,0.0,18.0,3.0,2.0,4.0,1438.3,0.0,1438.3,1.561,2789.0,50.0,1.083,0.0,0.0,0.0,,
116,46.0,5.0,1.0,1.0,0.0,35.0,3.0,1.0,3.0,4163.0,0.0,4163.0,0.743,4763.0,76.0,0.854,0.0,0.0,1.0,Married,M
117,57.0,2.0,3.0,4.0,0.0,36.0,3.0,2.0,2.0,23700.0,1314.0,22386.0,1.487,1644.0,28.0,0.647,0.055,1.0,0.0,Single,M
118,64.0,0.0,2.0,2.0,0.0,55.0,4.0,1.0,4.0,2508.0,1580.0,928.0,0.44,1607.0,44.0,0.419,0.63,1.0,1.0,Married,M
119,38.0,3.0,1.0,1.0,2.0,26.0,2.0,2.0,1.0,23981.0,0.0,23981.0,0.741,7872.0,103.0,0.635,0.0,0.0,0.0,,
120,42.0,2.0,2.0,3.0,0.0,32.0,5.0,2.0,2.0,22120.0,1805.0,20315.0,0.65,3981.0,65.0,0.667,0.082,0.0,0.0,Single,M
121,47.0,4.0,3.0,2.0,0.0,30.0,4.0,2.0,3.0,2257.0,896.0,1361.0,0.68,4618.0,94.0,0.516,0.397,0.0,0.0,,
122,42.0,4.0,0.0,3.0,0.0,36.0,6.0,5.0,1.0,2447.0,2195.0,252.0,0.717,4544.0,80.0,0.667,0.897,0.0,0.0,Married,M
123,57.0,2.0,3.0,4.0,0.0,51.0,3.0,5.0,3.0,8760.0,0.0,8760.0,0.726,2460.0,39.0,0.56,0.0,0.0,0.0,Single,F
124,52.0,3.0,4.0,1.0,0.0,33.0,3.0,2.0,0.0,3900.0,0.0,3900.0,1.092,4337.0,81.0,0.8,0.0,0.0,0.0,Single,M
125,38.0,3.0,3.0,0.0,0.0,36.0,5.0,4.0,3.0,1757.0,1352.0,405.0,0.879,4121.0,81.0,0.421,0.769,0.0,0.0,Single,M
126,40.0,2.0,3.0,0.0,0.0,36.0,3.0,2.0,3.0,2423.0,1674.0,749.0,0.644,4258.0,80.0,0.538,0.691,0.0,0.0,Single,M
127,42.0,3.0,4.0,0.0,0.0,36.0,6.0,3.0,3.0,2837.0,834.0,2003.0,0.427,3892.0,69.0,0.408,0.294,1.0,0.0,,
128,65.0,0.0,0.0,3.0,0.0,56.0,3.0,3.0,2.0,10144.0,1295.0,8849.0,0.758,1234.0,24.0,1.182,0.128,0.0,1.0,Single,M
129,62.0,0.0,3.0,3.0,0.0,56.0,5.0,3.0,2.0,29100.0,1228.0,27872.0,0.722,5041.0,74.0,0.805,0.042,0.0,0.0,Married,F
130,33.0,2.0,3.0,2.0,0.0,21.0,5.0,3.0,3.0,20791.0,0.0,20791.0,0.744,2883.0,93.0,0.755,0.0,0.0,0.0,Married,F
131,37.0,3.0,1.0,1.0,0.0,31.0,5.0,3.0,3.0,1586.0,1038.0,548.0,0.973,1724.0,24.0,0.714,0.654,0.0,0.0,Married,M
132,51.0,1.0,2.0,0.0,0.0,45.0,3.0,3.0,2.0,4860.0,1772.0,3088.0,0.561,4329.0,80.0,0.86,0.365,0.0,0.0,Married,M
133,53.0,4.0,2.0,2.0,0.0,42.0,3.0,3.0,3.0,3096.0,0.0,3096.0,0.684,4709.0,87.0,0.776,0.0,0.0,0.0,Married,M
134,57.0,1.0,4.0,0.0,0.0,47.0,4.0,1.0,3.0,3416.0,2468.0,948.0,0.598,1536.0,42.0,0.556,0.722,1.0,0.0,Single,M
135,42.0,4.0,2.0,0.0,0.0,27.0,6.0,2.0,1.0,2043.0,0.0,2043.0,1.019,5198.0,77.0,0.711,0.0,0.0,0.0,Single,F
136,44.0,3.0,3.0,0.0,0.0,27.0,3.0,1.0,4.0,1480.0,1017.0,463.0,1.008,5245.0,80.0,0.86,0.687,0.0,0.0,Divorced,M
137,61.0,0.0,1.0,2.0,0.0,53.0,1.0,3.0,3.0,2415.0,2050.0,365.0,0.499,4479.0,71.0,0.69,0.849,0.0,0.0,Divorced,M
138,38.0,0.0,3.0,2.0,0.0,33.0,5.0,4.0,4.0,11741.0,1560.0,10181.0,0.773,2143.0,41.0,0.783,0.133,0.0,0.0,Married,F
139,53.0,1.0,1.0,0.0,0.0,36.0,3.0,2.0,2.0,2615.0,1772.0,843.0,0.611,1419.0,38.0,0.357,0.678,0.0,0.0,,
140,46.0,4.0,3.0,0.0,0.0,27.0,1.0,2.0,3.0,6030.0,0.0,6030.0,1.031,4983.0,62.0,0.442,0.0,1.0,1.0,Married,F
141,44.0,2.0,0.0,0.0,0.0,20.0,6.0,3.0,3.0,2084.0,1468.0,616.0,1.004,1132.0,28.0,0.556,0.704,0.0,0.0,Single,M
142,45.0,4.0,2.0,1.0,2.0,39.0,5.0,1.0,2.0,23981.0,1684.0,22297.0,0.736,4141.0,73.0,0.521,0.07,1.0,0.0,Married,M
143,40.0,4.0,3.0,0.0,0.0,28.0,6.0,2.0,2.0,1438.3,689.0,749.3,0.823,4921.0,65.0,0.806,0.479,0.0,0.0,Single,F
144,51.0,3.0,3.0,2.0,1.0,36.0,3.0,2.0,2.0,29663.0,1743.0,27920.0,0.667,14638.0,93.0,0.722,0.059,0.0,0.0,Single,M
145,44.0,2.0,3.0,4.0,0.0,36.0,5.0,2.0,0.0,24016.0,0.0,24016.0,0.748,3693.0,62.0,0.722,0.0,0.0,0.0,Married,F
146,59.0,1.0,1.0,2.0,0.0,51.0,6.0,2.0,4.0,8973.0,1300.0,7673.0,0.568,4699.0,72.0,0.714,0.145,0.0,0.0,,
147,29.0,0.0,1.0,0.0,0.0,13.0,6.0,3.0,5.0,5240.0,1608.0,3632.0,1.243,2712.0,64.0,0.778,0.307,0.0,0.0,Married,M
148,41.0,3.0,3.0,2.0,0.0,32.0,1.0,3.0,3.0,4697.0,1046.0,3651.0,0.313,1679.0,29.0,0.318,0.223,1.0,0.0,Married,F
149,37.0,3.0,1.0,2.0,0.0,28.0,3.0,1.0,4.0,18570.0,1524.0,17046.0,1.385,3999.0,96.0,0.846,0.082,0.0,1.0,Married,M
150,47.0,3.0,3.0,3.0,0.0,42.0,6.0,3.0,3.0,13189.0,1205.0,11984.0,0.708,3821.0,83.0,0.66,0.091,0.0,0.0,Single,M
151,44.0,2.0,3.0,3.0,0.0,37.0,2.0,3.0,0.0,15821.0,1334.0,14487.0,0.81,8927.0,103.0,0.635,0.084,0.0,0.0,Married,M
152,51.0,1.0,1.0,0.0,0.0,45.0,3.0,3.0,3.0,2918.0,2049.0,869.0,0.501,3818.0,61.0,0.605,0.702,0.0,0.0,Single,F
153,36.0,4.0,5.0,2.0,0.0,17.0,5.0,2.0,4.0,2803.0,1848.0,955.0,0.614,1968.0,64.0,0.524,0.659,0.0,0.0,Single,M
154,58.0,1.0,3.0,0.0,0.0,46.0,4.0,2.0,2.0,2203.0,1394.0,809.0,0.57,1788.0,45.0,0.364,0.633,0.0,0.0,Married,F
155,49.0,4.0,2.0,0.0,0.0,35.0,5.0,2.0,2.0,5195.0,0.0,5195.0,1.135,3313.0,69.0,0.769,0.0,1.0,0.0,Married,F
156,44.0,4.0,0.0,1.0,1.0,40.0,1.0,1.0,2.0,18072.0,1378.0,16694.0,0.73,8199.0,98.0,0.75,0.076,0.0,0.0,Single,F
157,63.0,0.0,0.0,1.0,0.0,56.0,3.0,6.0,4.0,1438.3,0.0,1438.3,0.864,3630.0,71.0,0.578,0.0,0.0,0.0,Married,M
